Date,Open*,High,Low,Close**,Volume
"Oct 04, 2022",$0.09082,$0.09082,$0.09082,$0.09082,$0
"Oct 03, 2022",$0.09082,$0.09082,$0.09082,$0.09082,$0
"Oct 02, 2022",$0.09082,$0.09082,$0.09082,$0.09082,$0
"Oct 01, 2022",$0.09082,$0.09082,$0.09082,$0.09082,$0
"Sep 30, 2022",$0.09082,$0.09082,$0.09082,$0.09082,$0
"Sep 29, 2022",$0.09082,$0.09082,$0.09082,$0.09082,$0
"Sep 28, 2022",$0.09165,$0.09165,$0.09082,$0.09082,$0
"Sep 27, 2022",$0.08967,$0.09217,$0.08833,$0.09079,$0
"Sep 26, 2022",$0.09872,$0.09872,$0.08924,$0.08967,$7
"Sep 25, 2022",$0.0987,$0.09872,$0.09868,$0.09872,$0
"Sep 24, 2022",$0.1025,$0.1031,$0.0974,$0.09864,$0
"Sep 23, 2022",$0.1061,$0.1062,$0.1,$0.1025,$0
